,datetime,w,w_forecasted,d,d_forecasted
204,2021-04-09 12:00:00,28.917182,25.729606,81387.453,82476.0
205,2021-04-09 13:00:00,21.395573,24.993847,81685.248,82446.0
206,2021-04-09 14:00:00,37.554259,24.847011,81392.203,82271.0
207,2021-04-09 15:00:00,23.465813,24.452085,80662.256,81990.0
208,2021-04-09 16:00:00,19.92023,25.049871,80565.383,82282.0
209,2021-04-09 17:00:00,21.525968,25.146358,80558.949,82646.0
210,2021-04-09 18:00:00,23.958367,25.512567,80071.349,82725.0
211,2021-04-09 19:00:00,29.51995,29.021784,80081.533,82435.0
212,2021-04-09 20:00:00,32.648511,30.092623,80114.112,81888.0
213,2021-04-09 21:00:00,25.995044,25.763909,77946.719,79751.0
214,2021-04-09 22:00:00,21.412878,22.794285,73731.667,75787.0
215,2021-04-09 23:00:00,20.375826,19.60733,69509.763,71325.0
216,2021-04-10 00:00:00,18.963815,19.624718,65741.305,66624.0
217,2021-04-10 01:00:00,27.919597,18.709298,63225.567,64129.0
218,2021-04-10 02:00:00,18.751942,17.545157,61729.072,62590.0
219,2021-04-10 03:00:00,18.307777,17.424829,60927.2,61710.0
220,2021-04-10 04:00:00,20.385712,17.351259,61150.751,61743.0
221,2021-04-10 05:00:00,22.169237,18.245302,62284.174,62926.0
222,2021-04-10 06:00:00,27.200756,19.420505,64694.93,65039.0
223,2021-04-10 07:00:00,17.509583,20.741564,66826.435,67827.0
224,2021-04-10 08:00:00,22.452792,22.31198,69820.137,70699.0
225,2021-04-10 09:00:00,28.848169,22.998311,71756.655,72644.0
226,2021-04-10 10:00:00,20.976782,23.536769,72902.359,73821.0
227,2021-04-10 11:00:00,20.817108,24.087945,72961.866,74367.0
228,2021-04-10 12:00:00,18.779619,24.075975,72981.91,74435.0
229,2021-04-10 13:00:00,21.075151,23.255162,72610.497,74331.0
230,2021-04-10 14:00:00,21.664323,23.415284,72599.891,74193.0
231,2021-04-10 15:00:00,26.46958,23.669941,73030.384,74567.0
232,2021-04-10 16:00:00,32.80335,23.611197,73869.651,75575.0
233,2021-04-10 17:00:00,23.788577,23.659312,74905.907,77041.0
234,2021-04-10 18:00:00,23.984025,22.982824,75343.982,77854.0
235,2021-04-10 19:00:00,22.806317,26.337214,76069.935,78611.0
236,2021-04-10 20:00:00,26.350071,27.779188,76951.283,78662.0
237,2021-04-10 21:00:00,26.266905,23.282669,74878.693,76581.0
238,2021-04-10 22:00:00,31.816528,20.880749,71424.941,73261.0
239,2021-04-10 23:00:00,26.926652,18.412447,67530.358,69389.0
240,2021-04-11 00:00:00,20.216714,17.823818,64047.536,64957.0
241,2021-04-11 01:00:00,18.943553,17.612018,61667.2,62612.0
242,2021-04-11 02:00:00,18.870726,16.512205,60206.569,61056.0
243,2021-04-11 03:00:00,17.877219,15.921434,59423.665,60201.0
244,2021-04-11 04:00:00,17.949992,16.19079,59277.029,60105.0
245,2021-04-11 05:00:00,17.57071,16.690802,59917.838,60921.0
246,2021-04-11 06:00:00,17.757007,17.758951,61520.498,62604.0
247,2021-04-11 07:00:00,19.415574,18.498483,63104.549,64785.0
248,2021-04-11 08:00:00,27.178313,20.060797,66261.886,67773.0
249,2021-04-11 09:00:00,18.644116,21.176916,68938.723,70732.0
250,2021-04-11 10:00:00,22.618359,22.066422,71013.587,72507.0
251,2021-04-11 11:00:00,19.900858,23.346714,71935.408,73669.0
252,2021-04-11 12:00:00,30.78015,23.052798,72720.712,74222.0
253,2021-04-11 13:00:00,25.974994,22.90479,73000.738,74098.0
254,2021-04-11 14:00:00,18.927022,22.895626,73054.899,73701.0
255,2021-04-11 15:00:00,23.967417,23.080118,73620.504,74074.0
256,2021-04-11 16:00:00,21.701873,23.45932,74546.422,75202.0
257,2021-04-11 17:00:00,30.923279,25.297237,75943.611,77139.0
258,2021-04-11 18:00:00,31.741525,29.476656,76592.193,78424.0
259,2021-04-11 19:00:00,23.754013,32.030698,77520.527,79955.0
260,2021-04-11 20:00:00,37.345739,44.975861,78649.522,80845.0
261,2021-04-11 21:00:00,23.118232,30.407171,76365.777,78113.0
262,2021-04-11 22:00:00,21.83511,23.823189,72154.829,73847.0
263,2021-04-11 23:00:00,19.917336,20.277305,68045.762,69813.0
